,d1,d2,d3,d4,d5,ruangan
0,-90,-60.0,-90,-90,-71.0,301
1,-39.0,-63.0,-70.0,-81.0,-75.0,301
2,-44.0,-69.0,-59.0,-68.0,-67.0,301
3,-44.0,-90,-55.0,-67.0,-72.0,301
4,-42.0,-67.0,-55.0,-67.0,-73.0,301
5,-43.0,-59.0,-56.0,-71.0,-64.0,301
6,-38.0,-66.0,-60.0,-69.0,-65.0,301
7,-43.0,-90,-64.0,-67.0,-70.0,301
8,-31.0,-90,-61.0,-72.0,-64.0,301
9,-37.0,-64.0,-54.0,-71.0,-68.0,301
10,-37.0,-59.0,-90,-72.0,-74.0,301
11,-42.0,-56.0,-58.0,-75.0,-66.0,301
12,-36.0,-90,-52.0,-75.0,-73.0,301
13,-38.0,-59.0,-52.0,-66.0,-77.0,301
14,-36.0,-57.0,-48.0,-71.0,-72.0,301
15,-90,-57.0,-90,-67.0,-65.0,301
16,-90,-58.0,-90,-67.0,-61.0,301
17,-37.0,-57.0,-52.0,-68.0,-60.0,301
18,-41.0,-65.0,-46.0,-64.0,-65.0,301
19,-31.0,-65.0,-57.0,-70.0,-64.0,301
20,-39.0,-74.0,-55.0,-74.0,-74.0,301
21,-37.0,-63.0,-50.0,-75.0,-80.0,301
22,-49.0,-67.0,-90,-73.0,-64.0,301
23,-39.0,-59.0,-90,-65.0,-60.0,301
24,-44.0,-65.0,-50.0,-69.0,-68.0,301
25,-44.0,-64.0,-52.0,-62.0,-64.0,301
26,-42.0,-63.0,-52.0,-71.0,-67.0,301
27,-39.0,-58.0,-54.0,-70.0,-68.0,301
28,-39.0,-65.0,-55.0,-65.0,-65.0,301
29,-45.0,-61.0,-49.0,-62.0,-65.0,301
30,-51.0,-58.0,-48.0,-70.0,-58.0,301
31,-43.0,-58.0,-47.0,-66.0,-62.0,301
32,-47.0,-65.0,-50.0,-69.0,-65.0,301
33,-44.0,-60.0,-47.0,-71.0,-69.0,301
34,-41.0,-59.0,-53.0,-68.0,-63.0,301
35,-40.0,-58.0,-57.0,-67.0,-65.0,301
36,-41.0,-53.0,-52.0,-69.0,-65.0,301
37,-40.0,-48.0,-49.0,-66.0,-67.0,301
38,-42.0,-52.0,-43.0,-60.0,-71.0,301
39,-90,-90,-90,-90,-66.0,301
40,-33.0,-54.0,-43.0,-68.0,-66.0,301
41,-35.0,-90,-47.0,-71.0,-62.0,301
42,-36.0,-66.0,-49.0,-63.0,-65.0,301
43,-36.0,-65.0,-48.0,-64.0,-66.0,301
44,-38.0,-63.0,-55.0,-64.0,-63.0,301
45,-38.0,-64.0,-50.0,-61.0,-63.0,301
46,-36.0,-58.0,-50.0,-74.0,-72.0,301
47,-43.0,-55.0,-44.0,-70.0,-74.0,301
48,-41.0,-60.0,-90,-66.0,-65.0,301
49,-42.0,-63.0,-55.0,-66.0,-62.0,301
50,-41.0,-60.0,-52.0,-67.0,-64.0,301
51,-46.0,-62.0,-54.0,-65.0,-70.0,301
52,-42.0,-61.0,-54.0,-69.0,-60.0,301
53,-40.0,-57.0,-53.0,-70.0,-65.0,301
54,-36.0,-63.0,-62.0,-63.0,-70.0,301
55,-30.0,-57.0,-53.0,-70.0,-68.0,301
56,-40.0,-52.0,-46.0,-73.0,-67.0,301
57,-44.0,-55.0,-50.0,-65.0,-62.0,301
58,-32.0,-55.0,-45.0,-77.0,-68.0,301
59,-30.0,-55.0,-45.0,-71.0,-61.0,301
60,-34.0,-57.0,-48.0,-68.0,-64.0,301
61,-41.0,-90,-54.0,-74.0,-70.0,301
62,-35.0,-63.0,-55.0,-72.0,-67.0,301
63,-38.0,-61.0,-46.0,-66.0,-65.0,301
64,-34.0,-62.0,-60.0,-67.0,-63.0,301
65,-32.0,-55.0,-59.0,-73.0,-65.0,301
66,-30.0,-58.0,-61.0,-66.0,-67.0,301
67,-42.0,-55.0,-48.0,-70.0,-64.0,301
68,-41.0,-64.0,-50.0,-66.0,-69.0,301
69,-90,-56.0,-54.0,-67.0,-61.0,301
70,-32.0,-56.0,-57.0,-71.0,-61.0,301
71,-29.0,-61.0,-61.0,-61.0,-70.0,301
72,-28.0,-64.0,-54.0,-69.0,-62.0,301
73,-36.0,-66.0,-90,-75.0,-67.0,301
74,-28.0,-56.0,-55.0,-65.0,-69.0,301
75, -28, -52, -55, -69, -69,301
76,-41.0,-51.0,-47.0,-61.0,-78.0,301
77,-41.0,-53.0,-54.0,-66.0,-73.0,301
78,-37.0,-48.0,-52.0,-70.0,-65.0,301
79,-37.0,-49.0,-49.0,-68.0,-70.0,301
80,-42.0,-54.0,-48.0,-62.0,-66.0,301
81,-32.0,-58.0,-46.0,-66.0,-66.0,301
82,-33.0,-57.0,-50.0,-66.0,-63.0,301
83,-33.0,-52.0,-51.0,-67.0,-69.0,301
84,-31.0,-62.0,-58.0,-68.0,-73.0,301
85,-26.0,-57.0,-56.0,-75.0,-70.0,301
86,-32.0,-57.0,-63.0,-77.0,-74.0,301
87,-34.0,-64.0,-90,-77.0,-79.0,301
88,-30.0,-72.0,-59.0,-75.0,-68.0,301
89,-37.0,-59.0,-66.0,-68.0,-66.0,301
